Nome Completo do Curso;Área de Conhecimento;Integral;Noturno
Administração;Humanas;;608
Administração Pública;Humanas;;182
Arquitetura e Urbanismo;Tecnológicas;;209
Artes Cênicas;Artes;112;
Artes Visuais;Artes;179;
Ciência da Computação;Exatas;;306
Ciências Biológicas;Biológicas;250;
Ciências Econômicas;Humanas;360;215
Ciências Sociais;Humanas;342;351
Ciências do Esporte;Biológicas;283;
Comunicação Social - Midialogia;Artes;147;
Curso Superior de Tecnologia da Construção Civil;Tecnológicas;;12
Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;Tecnológicas;29;218
Curso Superior de Tecnologia em Construção de Edifícios;Tecnológicas;;211
Curso Superior de Tecnologia em Estradas;Tecnológicas;;14
Curso Superior de Tecnologia em Saneamento Ambiental;Tecnológicas;66;139
Curso Superior de Tecnologia em Sistemas de Telecomunicações;Tecnológicas;13;
Dança;Artes;130;
Educação Física;Biológicas;289;307
Enfermagem;Biológicas;200;
Engenharia Agrícola;Tecnológicas;426;
Engenharia Ambiental;Tecnológicas;;245
Engenharia Civil;Tecnológicas;515;
Engenharia Elétrica;Tecnológicas;426;241
Engenharia Física;Tecnológicas;30;
Engenharia Mecânica;Tecnológicas;891;
Engenharia Química;Tecnológicas;348;285
Engenharia de Alimentos;Tecnológicas;467;245
Engenharia de Computação;Tecnológicas;572;
Engenharia de Controle e Automação;Tecnológicas;;345
Engenharia de Manufatura;Tecnológicas;363;
Engenharia de Produção;Tecnológicas;361;
Engenharia de Telecomunicações;Tecnológicas;199;
Estatística;Exatas;312;
Estudos Literários;Humanas;114;
Farmácia;Biológicas;227;
Filosofia;Humanas;169;
Fonoaudiologia;Biológicas;130;
Física;Exatas;277;
Geografia;Humanas;103;193
Geologia;Exatas;156;
Gestão de Comércio Internacional;Humanas;;144
Gestão de Empresas;Humanas;;128
Gestão de Políticas Públicas;Humanas;;125
Gestão do Agronegócio;Humanas;;126
História;Humanas;205;
Licenciatura Integrada Química/Física;Humanas;;146
Licenciatura em Ciências Biológicas;Biológicas;;244
Licenciatura em Física;Exatas;;171
Licenciatura em Letras - Português;Humanas;163;168
Licenciatura em Matemática;Exatas;;271
Linguística;Humanas;107;
Matemática;Exatas;67;
Matemática Aplicada e Computacional;Exatas;75;
Matemática/Física/Matemática Aplicada e Computacional;Exatas;304;
Medicina;Biológicas;712;
Música;Artes;364;
Nutrição;Biológicas;257;
Odontologia;Biológicas;386;
Pedagogia;Humanas;212;256
Química;Exatas;402;
Química Tecnológica;Exatas;;254
Sistemas de Informação;Tecnológicas;172;
Superior Tecnologia em Saneamento Ambiental;Tecnológicas;;31
