Nome Completo do Curso;Área de Conhecimento;1-Mestrado - Integral;2-Mestrado Profissional - Periodo Não definido;2-Mestrado Profissional - Integral;3-Doutorado - Integral
Alimentos e Nutrição;Tecnológicas;;;;63
Ambiente e Sociedade;Interdisciplinar;;;;44
Antropologia Social;Humanas;55;;;68
Arquitetura, Tecnologia e Cidade;Tecnológicas;58;;;44
Artes Visuais;Artes;63;;;58
Artes da Cena;Artes;67;;;70
Biociências e Tecnologia de Produtos Bioativos;Biológicas;33;;;39
Bioenergia;Interdisciplinar;;;;32
Biologia Animal;Biológicas;34;;;37
Biologia Buco-Dental;Biológicas;31;;;42
Biologia Celular e Estrutural;Biológicas;41;;;64
Biologia Funcional e Molecular;Biológicas;31;;;93
Biologia Vegetal;Biológicas;26;;;78
Ciência Política;Humanas;36;;;76
Ciência da Computação;Exatas;168;;;174
Ciência da Nutrição;Tecnológicas;21;;;
Ciência de Alimentos;Tecnológicas;43;;;86
Ciências Humanas e Sociais Aplicadas;Interdisciplinar;50;;;
Ciências Médicas;Biológicas;88;;;89
Ciências Sociais;Humanas;;;;124
Ciências da Cirurgia;Biológicas;43;;;62
Ciências da Nutrição e do Esporte e Metabolismo;Biológicas;35;;;28
Ciências e Engenharia de Petróleo;Tecnológicas;78;;;50
Clínica Médica;Biológicas;99;;;99
Clínica Odontológica;Biológicas;73;;;104
Demografia;Humanas;22;;;45
Desenvolvimento Econômico;Humanas;107;;;88
Divulgação Científica e Cultural;Humanas;74;;;
Ecologia;Biológicas;35;;;69
Economia;Humanas;50;;;57
Educação;Humanas;225;;;359
Educação Física;Biológicas;74;;;86
Enfermagem;Biológicas;26;;;79
Engenharia Agrícola;Tecnológicas;62;;;103
Engenharia Civil;Tecnológicas;146;;;105
Engenharia Elétrica;Tecnológicas;321;;;339
Engenharia Mecânica;Tecnológicas;212;;;198
Engenharia Química;Tecnológicas;178;;;190
Engenharia de Alimentos;Tecnológicas;50;;;75
Ensino de Ciências e Matemática;Interdisciplinar;50;;;51
Ensino e História de Ciências da Terra;Exatas;30;;;31
Estatística;Exatas;25;;;28
Estomatopatologia;Biológicas;21;;;25
Farmacologia;Biológicas;32;;;48
Filosofia;Humanas;42;;;107
Fisiopatologia Médica;Biológicas;43;;;98
Física;Exatas;75;;;134
Genética e Biologia Molecular;Biológicas;80;;;163
Geociências;Exatas;61;;;49
Geografia;Humanas;52;;;94
Gerontologia;Interdisciplinar;24;;;30
História;Humanas;90;;;150
Linguística;Humanas;71;;;142
Linguística Aplicada;Humanas;54;;;85
Matemática;Exatas;46;;;90
Matemática Aplicada;Exatas;60;;;137
Matemática Aplicada e Computacional;Exatas;;;46;
Matemática em Rede Nacional;Exatas;;67;;
Materiais Dentários;Biológicas;25;;;30
Multimeios;Artes;30;;;40
Música;Artes;100;;;103
Odontologia;Biológicas;48;;;103
Odontologia em Saúde Coletiva;Biológicas;;;72;
Pesquisa Operacional;Exatas;54;;;
Política Científica e Tecnológica;Exatas;31;;;63
Química;Exatas;145;;;254
Radiologia Odontológica;Biológicas;13;;;27
Relações Internacionais;Humanas;9;;;7
Saúde Coletiva;Biológicas;41;;;79
Saúde Coletiva: Política e Gestão em Saúde;Biológicas;;;69;
Saúde da Criança e do Adolescente;Biológicas;67;;;66
Saúde, Interdisciplinaridade e Reabilitação;Interdisciplinar;54;;;
Sociologia;Humanas;48;;;68
Tecnologia;Tecnológicas;114;;;48
Tecnologia de Alimentos;Tecnológicas;42;;;61
Teoria e História Literária;Humanas;65;;;84
Tocoginecologia;Biológicas;59;;;68
Área Interdisciplinar de Planejamento de Sistemas Energéticos;Interdisciplinar;31;;;31
